seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
12602,723147,0,44418194,24',Leon Balogun (Rangers) Yellow Card at 24',2024-12-16 05:57:28
12602,723147,1,44418418,41',Nedim Bajrami (Rangers) Goal at 41',2024-12-16 05:57:28
12602,723147,2,44418487,44',Jefte Vital Da Silva Dias (Rangers) Yellow Card at 44',2024-12-16 05:57:28
12602,723147,3,44418777,45',Liam Scales (Celtic) Substitution at 45',2024-12-16 05:57:28
12602,723147,4,44418949,56',Greg Taylor (Celtic) Goal at 56',2024-12-16 05:57:28
12602,723147,5,44419017,60',Daizen Maeda (Celtic) Goal at 60',2024-12-16 05:57:28
12602,723147,6,44419055,61',Ridvan Yilmaz (Rangers) Substitution at 61',2024-12-16 05:57:28
12602,723147,7,44419094,67',Kyogo Furuhashi (Celtic) Yellow Card at 67',2024-12-16 05:57:28
12602,723147,8,44419112,67',Dujon Sterling (Rangers) Substitution at 67',2024-12-16 05:57:28
12602,723147,9,44419150,70',Anthony Ralston (Celtic) Substitution at 70',2024-12-16 05:57:28
12602,723147,10,44419151,71',Arne Engels (Celtic) Substitution at 71',2024-12-16 05:57:28
12602,723147,11,44419213,75',Mohammed Diomande (Rangers) Goal at 75',2024-12-16 05:57:28
12602,723147,12,44419281,76',Adam Idah (Celtic) Substitution at 76',2024-12-16 05:57:28
12602,723147,13,44419419,86',Danilo  (Rangers) Substitution at 86',2024-12-16 05:57:28
12602,723147,14,44419435,87',Nicolas Gerrit Kühn (Celtic) Goal at 87',2024-12-16 05:57:28
12602,723147,15,44419459,88',Danilo  (Rangers) Goal at 88',2024-12-16 05:57:28
12602,723147,16,44419510,90'+1',Nicolas Raskin (Rangers) Yellow Card at 91',2024-12-16 05:57:28
12602,723147,17,44419522,90'+2',Cameron Carter-Vickers (Celtic) Yellow Card at 92',2024-12-16 05:57:28
12602,723147,18,44419552,90'+4',James Tavernier (Rangers) Yellow Card at 94',2024-12-16 05:57:28
12602,723147,19,44419624,90',Álex Valle (Celtic) Substitution at 90',2024-12-16 05:57:28
12602,723147,20,44419703,93',Liam Scales (Celtic) Yellow Card at 93',2024-12-16 05:57:28
12602,723147,21,44419726,95',Hamza Igmane (Rangers) Yellow Card at 95',2024-12-16 05:57:28
12602,723147,22,44419824,101',Cyriel Dessers (Rangers) Substitution at 101',2024-12-16 05:57:28
12602,723147,23,44419887,102',Cyriel Dessers (Rangers) Yellow Card at 102',2024-12-16 05:57:28
12602,723147,24,44419966,105',James Forrest (Celtic) Substitution at 105',2024-12-16 05:57:28
12602,723147,25,44419967,105',Connor Barron (Rangers) Substitution at 105',2024-12-16 05:57:28
12602,723147,26,44419968,105',Kieran Dowell (Rangers) Substitution at 105',2024-12-16 05:57:28
12602,723147,27,44420003,107',Dujon Sterling (Rangers) Yellow Card at 107',2024-12-16 05:57:28
12602,723147,28,44420036,111',Ianis Hagi (Rangers) Yellow Card at 111',2024-12-16 05:57:28
